prefix,domain
KXFLIGHTJFK,Weather
KXSPOTIFYBILLIONS,Entertainment / Awards
TOPALBUMRECORDY,Entertainment / Awards
KXDJTINVESTMENT,Politics / Government
KXJOHNSONMENTION,Politics / Government
KXSNOWS,Weather
KXEARNINGSMENTIONORCL,Politics / Government
KXNEWSOMMENTION,Politics / Government
KXEARNINGSMENTIONF,Politics / Government
KXGRIFFINMENTION,Politics / Government
KXTRUMPPRESS,Politics / Government
KXBARRMENTION,Politics / Government
KXEARNINGSMENTIONJPM,Politics / Government
KXTRUMPPUTIN,Politics / Government
KXEARNINGSMENTIONSBUX,Politics / Government
KXKARDASHIANMENTION,Politics / Government
KXOSCARDIR,Entertainment / Awards
KXALTHOFFMENTION,Politics / Government
KXEARNINGSMENTIONBAC,Politics / Government
KXSPOTIFYSONGSWHATDIDIMISS,Entertainment / Awards
KXEARNINGSMENTIONDAL,Politics / Government
KXSPOTIFYSONGSALLICANTAKE,Entertainment / Awards
KXBARKLEYMENTION,Politics / Government
KXNADALMENTION,Politics / Government
KXOSCARSUPACTO,Entertainment / Awards
HIGHUS,Weather
KXEARNINGSMENTIONDKNG,Politics / Government
KXDILLONMENTION,Politics / Government
OSCARCOUNTDUNE2,Entertainment / Awards
KXEARNINGSMENTIONUAL,Politics / Government
KXEARNINGSMENTIONCBRL,Politics / Government
FRMMIN,Economics / Finance
KXCPIFOOD,Economics / Finance
KXEARNINGSMENTIONPG,Politics / Government
KXOSCARSUPACTR,Entertainment / Awards
KXOSCARACTR,Entertainment / Awards
KXEARNINGSMENTIONINTC,Politics / Government
KXEARNINGSMENTIONHIMS,Politics / Government
NETFLIXSUBS,Entertainment / Awards
KXBUSHMENTION,Politics / Government
KXOSCARGUESTS,Entertainment / Awards
KXEARNINGSMENTIONTSMC,Politics / Government
KXEARNINGSMENTIONTGT,Politics / Government
KXSPOTIFY100MILLIONSWIFT,Entertainment / Awards
KXEARNINGSMENTIONGS,Politics / Government
KXEARNINGSMENTIONCAVA,Politics / Government
KXSPOTIFYALBUMTSWIFT,Entertainment / Awards
KXSPOTIFYALBUMRELEASE,Entertainment / Awards
KXEARNINGSMENTIONHOOD,Politics / Government
KXEARNINGSMENTIONROKU,Politics / Government
KXEARNINGSMENTIONSNAP,Politics / Government
KXEARNINGSMENTIONLYFT,Politics / Government
KXEARNINGSMENTIONCELH,Politics / Government
KXEARNINGSMENTIONRKLB,Politics / Government
KXZAKARIAMENTION,Politics / Government
OSCARNOMSUPACTO,Entertainment / Awards
KXACKMANMENTION,Politics / Government
KXOSCARNOMDIR,Entertainment / Awards
KXEARNINGSMENTIONAAL,Politics / Government
KXSHAQMENTION,Politics / Government
GOVSHUTLENGTH,Politics / Government
KXSPOTIFYSUBS,Entertainment / Awards
KXBTCMENTIONULBRICHT,Politics / Government
KXBENIOFFMENTION,Politics / Government
KXREEVESMENTION,Politics / Government
KXEARNINGSMENTIONMCD,Politics / Government
KXOSCARSOUND,Entertainment / Awards
TOPALBUMRECORD,Entertainment / Awards
KXSPOTIFYSONGSAMERICANHEART,Entertainment / Awards
KXTRUMPSAYMAM,Politics / Government
KXOSCARNOMSUPACTR,Entertainment / Awards
KXASYLUMCASES,Politics / Government
KXDJTMEXG7,Politics / Government
KXSPOTIFYSONGSJUSTKEEPWATCHING,Entertainment / Awards
KXSPOTIFYSONGSTLOASG,Entertainment / Awards
KXEARNINGSMENTIONCMG,Politics / Government
KXOSCARSPLAY,Entertainment / Awards
KXCUOMOMENTION,Politics / Government
KXEARNINGSMENTIONAXP,Politics / Government
KXOSCARWIN,Entertainment / Awards
KXTRUMPFAV,Politics / Government
KXSPOTIFYSONGSEDSHEERANOLDPHONE,Entertainment / Awards
